Dataset,Sequence Length,Samples,Acc@1,Acc@5,Acc@10,MRR,NDCG,F1,Loss
Geolife,1-4,141,48.94,70.92,74.47,58.73,62.41,44.76,3.2648
Geolife,6-9,596,51.17,79.70,81.88,63.30,67.77,47.55,2.7345
Geolife,11-14,730,59.04,84.52,85.62,70.24,73.93,54.61,2.1635
Geolife,16-19,315,56.19,81.90,85.71,67.37,71.72,52.25,2.3580
Geolife,21-29,454,58.15,84.58,88.33,69.94,74.35,52.60,2.1794
Geolife,31-49,725,49.24,79.59,85.52,62.47,67.81,44.39,2.4774
DIY,1-4,352,62.50,77.84,81.25,69.43,72.16,56.43,2.7336
DIY,6-9,1258,62.16,81.00,84.50,70.56,73.83,58.17,2.4204
DIY,11-14,1605,58.19,82.93,86.36,68.96,73.12,53.25,2.3489
DIY,16-19,1579,57.63,81.25,84.67,67.68,71.71,51.76,2.5390
DIY,21-29,2682,53.84,82.36,86.35,66.49,71.26,48.93,2.4013
DIY,31-49,2479,57.93,84.71,89.07,69.78,74.39,52.58,2.0952
DIY,51-99,776,48.20,80.93,85.95,62.53,68.05,42.02,2.4279
