Dataset,Day,Samples,Acc@1,Acc@5,MRR
Geolife,Monday,538,60.04,86.43,71.50
Geolife,Tuesday,529,60.49,86.96,72.21
Geolife,Wednesday,521,57.97,85.22,69.51
Geolife,Thursday,541,54.90,78.93,65.48
Geolife,Friday,517,43.33,73.89,56.60
Geolife,Saturday,464,42.67,69.83,54.49
Geolife,Sunday,392,57.65,86.22,70.54
DIY,Monday,1866,57.50,82.37,68.32
DIY,Tuesday,1244,59.41,84.89,70.44
DIY,Wednesday,1695,56.40,81.36,67.19
DIY,Thursday,1766,56.00,81.88,67.48
DIY,Friday,1978,56.42,82.36,67.83
DIY,Saturday,1970,55.63,80.76,66.77
DIY,Sunday,1849,57.54,82.80,68.57
